arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238592421,01/03/2022,792,118,DANGEROUS WEAPONS,F,M,32,18-24,M,BLACK HISPANIC,-73.942071,40.817536
238592422,01/04/2022,244,107,BURGLARY,F,M,1,25-44,M,BLACK,-74.0067439741913,40.7204418884676
238592423,01/03/2022,503,117,DANGEROUS DRUGS,F,Q,108,25-44,M,WHITE HISPANIC,-73.89632537,40.74633332
238592771,01/04/2022,397,105,ROBBERY,F,B,43,25-44,M,WHITE HISPANIC,-73.870168,40.823378
238592772,01/04/2022,748,359,OFFENSES AGAINST PUBLIC ADMINI,M,B,43,25-44,M,WHITE HISPANIC,-73.870168,40.823378
238592773,01/03/2022,750,359,OFFENSES AGAINST PUBLIC ADMINI,M,Q,102,25-44,M,BLACK HISPANIC,-73.826669,40.692522
238593043,01/04/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,52,25-44,M,BLACK HISPANIC,-73.873306,40.876189
238593044,01/03/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,75,18-24,M,BLACK,-73.895382,40.669998
238593045,01/04/2022,293,126,MISCELLANEOUS PENAL LAW,F,K,79,18-24,F,BLACK,-73.943737,40.697126
238593047,01/03/2022,439,109,GRAND LARCENY,F,M,14,25-44,M,WHITE,-73.98928,40.750423
238593048,01/04/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,M,10,25-44,M,WHITE,-73.99515328,40.74476048
238595762,01/04/2022,792,118,DANGEROUS WEAPONS,F,B,45,25-44,M,WHITE HISPANIC,-73.825419,40.828288
238595763,01/04/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,52,25-44,F,BLACK HISPANIC,-73.873306,40.876189
238595764,01/04/2022,397,105,ROBBERY,F,K,75,25-44,M,BLACK,-73.894225,40.656864
238595765,01/03/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,75,18-24,M,BLACK,-73.885103,40.666894
238595766,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,88,18-24,M,BLACK,-73.978093,40.695007
238595768,01/04/2022,109,106,FELONY ASSAULT,F,K,88,25-44,M,BLACK,-73.9602785860011,40.6902236041959
238595769,01/03/2022,293,126,MISCELLANEOUS PENAL LAW,F,K,75,18-24,M,BLACK,-73.895382,40.669998
238595770,01/04/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,M,10,18-24,M,WHITE,-73.99515328,40.74476048
238595771,01/04/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,M,10,18-24,M,WHITE,-73.99515328,40.74476048
