arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238848848,01/08/2022,177,116,SEX CRIMES,F,M,13,25-44,M,BLACK,-73.9832725981497,40.7372030985741
238848849,01/08/2022,661,361,OFF. AGNST PUB ORD SENSBLTY &,M,M,13,25-44,M,BLACK,-73.981276,40.732914
238848850,01/08/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,M,14,25-44,M,BLACK,-73.98979219,40.75723226
238848851,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,M,10,25-44,F,WHITE,-73.999734,40.76142
238848853,01/08/2022,760,126,MISCELLANEOUS PENAL LAW,F,M,28,25-44,M,WHITE HISPANIC,-73.95246182,40.79824299
238848854,01/08/2022,397,105,ROBBERY,F,M,7,25-44,M,WHITE HISPANIC,-73.988606,40.718676
238848855,01/08/2022,339,341,PETIT LARCENY,M,Q,112,45-64,M,BLACK,-73.831845,40.714837
238848856,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.757954,40.672002
238848857,01/08/2022,744,359,OFFENSES AGAINST PUBLIC ADMINI,M,Q,103,25-44,M,WHITE HISPANIC,-73.7927267255908,40.7072398161698
238848858,01/08/2022,117,126,MISCELLANEOUS PENAL LAW,F,Q,103,25-44,M,WHITE HISPANIC,-73.7927267255908,40.7072398161698
238848859,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,113,25-44,M,BLACK,-73.775929,40.680077
238848860,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,102,25-44,M,WHITE HISPANIC,-73.825952,40.712206
238848861,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.775929,40.680077
238848862,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.775929,40.680077
238848863,01/08/2022,922,348,VEHICLE AND TRAFFIC LAWS,M,S,123,18-24,M,WHITE,-74.2497549524458,40.5120382535219
238848865,01/08/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,S,120,25-44,M,WHITE HISPANIC,-74.075288,40.634623
238849069,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,45,45-64,M,WHITE HISPANIC,-73.830106,40.84782
238849070,01/08/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,B,43,45-64,F,BLACK,-73.873758,40.824025
238849071,01/08/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,B,44,18-24,M,BLACK,-73.917283,40.839278
238849072,01/08/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,B,52,25-44,M,WHITE HISPANIC,-73.873306,40.876189
238849073,01/08/2022,792,118,DANGEROUS WEAPONS,F,K,75,<18,M,BLACK,-73.864248,40.667524
238849074,01/08/2022,105,106,FELONY ASSAULT,F,K,61,25-44,M,BLACK,-73.9608543158447,40.5940190586592
238849075,01/08/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,K,67,25-44,M,BLACK,-73.936281,40.652457
238849076,01/08/2022,244,107,BURGLARY,F,M,17,25-44,F,BLACK,-73.976961,40.747319
238849077,01/08/2022,705,358,OFFENSES INVOLVING FRAUD,M,M,20,25-44,M,WHITE,-73.9748976664227,40.7842519786623
238849078,01/08/2022,109,106,FELONY ASSAULT,F,M,34,25-44,M,WHITE HISPANIC,-73.9352160519866,40.8512131676868
238849080,01/08/2022,244,107,BURGLARY,F,M,17,25-44,F,BLACK,-73.97111,40.756789
238849081,01/08/2022,244,107,BURGLARY,F,M,17,25-44,F,BLACK,-73.97111,40.756789
238849082,01/08/2022,339,341,PETIT LARCENY,M,M,7,25-44,M,WHITE HISPANIC,-73.988606,40.718676
238849083,01/09/2022,707,340,FRAUDS,M,M,30,25-44,M,WHITE HISPANIC,-73.94383379,40.82885096
238849084,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,111,25-44,M,WHITE HISPANIC,-73.755146,40.741225
